session,wfz,b2_key,local_bytes,b2_bytes,present,size_matches,error
AL_0039/2025-05-13/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-05-13\1\widefield.wfz,subjects/AL_0039/2025-05-13/1/widefield.wfz,89498459839,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-05-13/1/widefield.wfz
AL_0039/2025-05-12/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-05-12\1\widefield.wfz,subjects/AL_0039/2025-05-12/1/widefield.wfz,88906795786,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-05-12/1/widefield.wfz
AL_0039/2025-06-25/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-06-25\1\widefield.wfz,subjects/AL_0039/2025-06-25/1/widefield.wfz,85151734904,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-06-25/1/widefield.wfz
AL_0033/2025-05-12/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-05-12\3\widefield.wfz,subjects/AL_0033/2025-05-12/3/widefield.wfz,85369271959,85369271959,True,True,
ZYE_0009/2020-08-30/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0009\2020-08-30\1\widefield.wfz,subjects/ZYE_0009/2020-08-30/1/widefield.wfz,91639712045,91639712045,True,True,
AL_0033/2024-09-23/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-09-23\1\widefield.wfz,subjects/AL_0033/2024-09-23/1/widefield.wfz,90461735952,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-09-23/1/widefield.wfz
AL_0039/2025-05-14/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-05-14\1\widefield.wfz,subjects/AL_0039/2025-05-14/1/widefield.wfz,91876625168,,False,False,FileNotPresent: File not present: subjects/AL_0039/2025-05-14/1/widefield.wfz
AL_0033/2024-12-17/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-12-17\1\widefield.wfz,subjects/AL_0033/2024-12-17/1/widefield.wfz,91181826996,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-12-17/1/widefield.wfz
ZYE_0085/2024-07-24/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0085\2024-07-24\1\widefield.wfz,subjects/ZYE_0085/2024-07-24/1/widefield.wfz,87370529528,87370529528,True,True,
ZYE_0085/2024-07-29/7,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0085\2024-07-29\7\widefield.wfz,subjects/ZYE_0085/2024-07-29/7/widefield.wfz,86460907985,86460907985,True,True,
AL_0033/2024-07-18/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-07-18\1\widefield.wfz,subjects/AL_0033/2024-07-18/1/widefield.wfz,87673388684,,False,False,FileNotPresent: File not present: subjects/AL_0033/2024-07-18/1/widefield.wfz
AB_0032/2024-05-02/1,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-05-02\1\widefield.wfz,subjects/AB_0032/2024-05-02/1/widefield.wfz,86255371309,,False,False,FileNotPresent: File not present: subjects/AB_0032/2024-05-02/1/widefield.wfz
