session,verdict,C1,C2,C3,C4,C5,C7,tar_bytes_now,wfz_bytes_now,b2_wfz_bytes,notes
ZYE_0076/2024-05-20/1,REFUSE,pass,pass,pass,pass,pass,fail,122362498560,43973575220,,C7: FileNotPresent: File not present: subjects/ZYE_0076/2024-05-20/1/widefield.wfz
ZYE_0077/2024-07-22/1,PASS,pass,pass,pass,pass,pass,pass,142275190272,57180166833,57180166833,
ZYE_0078/2024-07-23/1,PASS,pass,pass,pass,pass,pass,pass,164403426816,64670861250,64670861250,
ZYE_0085/2024-07-08/1,PASS,pass,pass,pass,pass,pass,pass,162206866944,65886240006,65886240006,
ZYE_0085/2024-07-09/3,PASS,pass,pass,pass,pass,pass,pass,134615391744,56199082452,56199082452,
ZYE_0085/2024-07-10/1,PASS,pass,pass,pass,pass,pass,pass,175612780032,72064338440,72064338440,
ZYE_0085/2024-07-11/1,PASS,pass,pass,pass,pass,pass,pass,176584809984,73161418469,73161418469,
ZYE_0085/2024-07-13/2,REFUSE,pass,pass,pass,pass,pass,fail,123936984576,50289031021,,C7: FileNotPresent: File not present: subjects/ZYE_0085/2024-07-13/2/widefield.wfz
ZYE_0085/2024-07-14/2,PASS,pass,pass,pass,pass,pass,pass,186924019200,77677631805,77677631805,
ZYE_0085/2024-07-16/1,PASS,pass,pass,pass,pass,pass,pass,175245737472,72066814067,72066814067,
ZYE_0085/2024-07-17/1,PASS,pass,pass,pass,pass,pass,pass,141923335680,58588737492,58588737492,
ZYE_0085/2024-07-18/3,PASS,pass,pass,pass,pass,pass,pass,145450741248,58106223188,58106223188,
ZYE_0085/2024-07-22/1,PASS,pass,pass,pass,pass,pass,pass,141398085120,58588071174,58588071174,
ZYE_0085/2024-07-22/7,REFUSE,pass,pass,pass,pass,pass,fail,119257191936,49461934884,,C7: FileNotPresent: File not present: subjects/ZYE_0085/2024-07-22/7/widefield.wfz
ZYE_0085/2024-07-23/1,PASS,pass,pass,pass,pass,pass,pass,170666565120,70615861708,70615861708,
ZYE_0085/2024-07-24/1,PASS,pass,pass,pass,pass,pass,pass,212070231552,87370529528,87370529528,
ZYE_0085/2024-07-25/3,PASS,pass,pass,pass,pass,pass,pass,224438932992,92703762386,92703762386,
ZYE_0085/2024-07-26/1,REFUSE,pass,pass,pass,pass,pass,fail,128953443840,53735842336,,C7: FileNotPresent: File not present: subjects/ZYE_0085/2024-07-26/1/widefield.wfz
ZYE_0085/2024-07-27/3,PASS,pass,pass,pass,pass,pass,pass,161963226624,67217057253,67217057253,
ZYE_0085/2024-07-28/1,PASS,pass,pass,pass,pass,pass,pass,160426710528,66558793836,66558793836,
ZYE_0085/2024-07-29/7,PASS,pass,pass,pass,pass,pass,pass,211481064960,86460907985,86460907985,
ZYE_0085/2024-09-08/1,PASS,pass,pass,pass,pass,pass,pass,141819551232,59624230003,59624230003,
ZYE_0086/2024-05-24/1,REFUSE,pass,pass,pass,pass,pass,fail,119320475136,43119155878,,C7: FileNotPresent: File not present: subjects/ZYE_0086/2024-05-24/1/widefield.wfz
ZYE_0086/2025-02-11/1,PASS,pass,pass,pass,pass,pass,pass,132470724096,53544783926,53544783926,
ZYE_0086/2025-03-05/1,PASS,pass,pass,pass,pass,pass,pass,141301262848,55875135627,55875135627,
ZYE_0086/2025-03-06/1,PASS,pass,pass,pass,pass,pass,pass,152899806720,59326746239,59326746239,
ZYE_0087/2024-08-19/1,PASS,pass,pass,pass,pass,pass,pass,140232408576,55865907757,55865907757,
