session,wfz,b2_key,local_bytes,in_b2,b2_bytes,b2_uploaded_utc,error
ZYE_0094/2025-06-19/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0094\2025-06-19\1\widefield.wfz,subjects/ZYE_0094/2025-06-19/1/widefield.wfz,34720746026,True,34720746026,2026-08-24T07:24:23+00:00,
ZYE_0069/2023-07-17/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-07-17\1\widefield.wfz,subjects/ZYE_0069/2023-07-17/1/widefield.wfz,41996197059,True,41996197059,2026-08-24T05:21:30+00:00,
FD_005/2026-01-02/1,\\sahale.biostr.washington.edu\data\Subjects\FD_005\2026-01-02\1\widefield.wfz,subjects/FD_005/2026-01-02/1/widefield.wfz,33924677903,False,,,FileNotPresent
ZYE_0045/2021-09-23/2,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0045\2021-09-23\2\widefield.wfz,subjects/ZYE_0045/2021-09-23/2/widefield.wfz,43488219482,True,43488219482,2026-08-24T04:19:33+00:00,
ZYE_0016/2021-02-16/3,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0016\2021-02-16\3\widefield.wfz,subjects/ZYE_0016/2021-02-16/3/widefield.wfz,41323901822,True,41323901822,2026-08-24T03:54:07+00:00,
AB_0032/2024-05-21/1,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-05-21\1\widefield.wfz,subjects/AB_0032/2024-05-21/1/widefield.wfz,39144065492,True,39144065492,2026-08-24T17:19:05+00:00,
ZYE_0069/2023-09-06/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-09-06\1\widefield.wfz,subjects/ZYE_0069/2023-09-06/1/widefield.wfz,41574701735,True,41574701735,2026-08-24T06:49:04+00:00,
FD_001/2025-10-03/1,\\sahale.biostr.washington.edu\data\Subjects\FD_001\2025-10-03\1\widefield.wfz,subjects/FD_001/2025-10-03/1/widefield.wfz,31576901372,False,,,FileNotPresent
AB_0032/2024-06-20/3,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-06-20\3\widefield.wfz,subjects/AB_0032/2024-06-20/3/widefield.wfz,41125843973,True,41125843973,2026-08-26T13:08:01+00:00,
AL_0041/2026-03-16/2,\\sahale.biostr.washington.edu\data\Subjects\AL_0041\2026-03-16\2\widefield.wfz,subjects/AL_0041/2026-03-16/2/widefield.wfz,36532029770,False,,,FileNotPresent
ZYE_0089/2025-05-02/5,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0089\2025-05-02\5\widefield.wfz,subjects/ZYE_0089/2025-05-02/5/widefield.wfz,38458461288,True,38458461288,2026-08-24T15:41:19+00:00,
ZYE_0090/2024-08-18/5,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0090\2024-08-18\5\widefield.wfz,subjects/ZYE_0090/2024-08-18/5/widefield.wfz,38777778390,True,38777778390,2026-08-24T14:31:45+00:00,
FD_004/2025-08-14/1,\\sahale.biostr.washington.edu\data\Subjects\FD_004\2025-08-14\1\widefield.wfz,subjects/FD_004/2025-08-14/1/widefield.wfz,32551477249,False,,,FileNotPresent
ZYE_0092/2025-06-21/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0092\2025-06-21\1\widefield.wfz,subjects/ZYE_0092/2025-06-21/1/widefield.wfz,33188634147,True,33188634147,2026-08-24T07:17:05+00:00,
ZYE_0092/2025-06-23/2,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0092\2025-06-23\2\widefield.wfz,subjects/ZYE_0092/2025-06-23/2/widefield.wfz,33829932324,True,33829932324,2026-08-24T09:58:15+00:00,
ZYE_0094/2025-06-22/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0094\2025-06-22\1\widefield.wfz,subjects/ZYE_0094/2025-06-22/1/widefield.wfz,33526690737,True,33526690737,2026-08-24T09:56:44+00:00,
AL_0034/2024-07-29/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0034\2024-07-29\1\widefield.wfz,subjects/AL_0034/2024-07-29/1/widefield.wfz,40815580367,True,40815580367,2026-08-24T17:21:46+00:00,
AL_0046/2026-03-03/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0046\2026-03-03\1\widefield.wfz,subjects/AL_0046/2026-03-03/1/widefield.wfz,32326072216,False,,,FileNotPresent
